Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
3,2,9,13,1,5,0,9,9,3,3,0,0,1,1,2,0,39,1,11,12,14,11,3.0177853293758083,14,11,10,4,14,30.2940271544402,10,10.27206689353293,7.1984337667396705,18086.49533664336,Dropout
3,1,3,12,1,3,1,4,4,11,2,0,0,0,0,3,0,31,0,5,12,2,5,5.724485784805746,13,5,11,3,14,25.20221944506588,10,0.5743380104133222,8.317047044193991,77772.02619447828,Graduate
3,5,6,11,0,3,0,9,2,5,7,1,0,0,0,1,1,52,1,1,12,6,1,6.0237749495492565,14,7,14,12,3,35.040170647121556,0,2.2888100896378294,4.4978701174711535,56031.139158956204,Dropout
2,2,9,16,0,2,0,9,2,3,4,1,1,1,1,3,0,43,1,5,7,10,3,23.352996190657098,11,13,11,6,14,26.56169353830956,11,8.419776375889956,2.178450589396561,25488.515820133143,Dropout
2,1,7,5,0,6,1,6,8,7,7,1,0,1,1,2,1,30,0,9,7,0,3,32.251262674267295,9,14,0,5,11,7.137457482584781,10,13.156971318309425,6.3340929046965435,95911.87340926735,Dropout
3,3,4,2,0,6,1,2,9,9,6,1,0,1,1,3,0,17,1,6,8,11,1,17.225429844121596,14,5,7,3,10,16.55059822808699,14,2.3918126160662156,3.2115212729286755,46135.15394154423,Dropout
2,3,1,7,1,9,0,1,8,1,11,1,1,0,0,2,1,53,1,1,1,9,4,23.59438934148805,3,3,9,4,0,17.41880727132166,10,18.531568102135715,8.071470506277885,62742.93559874521,Dropout
3,9,8,2,0,8,0,4,5,4,11,0,1,0,0,1,0,33,1,6,3,6,3,35.38247537590176,10,12,3,1,10,31.097078915391133,13,11.544077487895692,1.225859445497498,84600.07916790672,Dropout
3,9,6,16,0,1,0,3,6,8,10,1,1,1,0,3,0,47,1,3,7,11,2,9.225487122730339,8,14,5,4,2,6.404500416362207,2,18.595821011474868,0.09309622692743158,29522.229518609904,Dropout
1,7,7,8,1,9,0,5,1,8,11,1,1,0,0,3,1,44,1,2,1,13,0,14.842620926543146,12,11,0,7,6,9.753987020456002,0,3.9268391404778247,8.588609953031916,91826.26364570145,Dropout
3,4,1,17,0,5,0,7,8,9,6,0,1,1,0,1,0,19,1,4,3,13,1,3.1444623571246266,8,11,11,0,12,2.0051927735104513,0,1.1148613152162201,3.8168125735760947,73713.12994356503,Dropout
2,3,6,17,0,5,0,6,4,11,6,0,1,0,0,1,1,23,1,5,10,1,11,23.86301779646153,10,7,1,0,14,0.7223343253169023,4,4.4366868536532,1.381888781909899,46091.2216691945,Dropout
2,8,6,1,0,7,1,5,6,1,3,1,0,0,0,2,1,52,1,12,12,2,5,0.016534987045417893,11,1,8,7,0,33.997107469461056,8,19.746902509692685,3.6826277708800372,45147.30740170147,Graduate
3,8,6,11,1,7,0,5,8,3,4,1,1,0,0,3,1,38,1,1,10,0,3,16.118621394259666,8,6,10,2,0,29.201136981914154,13,4.793234537957005,0.4776725737466958,93316.8898271045,Dropout
2,3,1,9,0,2,1,4,7,6,4,1,0,0,0,3,0,22,0,8,11,10,5,28.48213945073799,12,2,4,0,10,39.97917397353305,1,17.831742912428943,3.1861403161238466,10021.287492039273,Dropout
1,3,3,9,1,9,1,6,1,3,10,1,1,1,1,1,0,36,0,14,14,3,14,34.38263849990104,0,3,12,4,3,30.58960692688196,13,14.467935790278412,3.4043069242971056,41410.07482731465,Dropout
2,9,6,17,0,8,1,7,6,4,9,0,1,0,1,3,0,32,1,13,14,6,4,14.074767269477801,12,13,3,11,6,29.21115946151882,12,14.684606061788175,9.939385651663562,45525.347140389495,Dropout
2,3,9,3,0,4,0,4,9,6,8,0,0,1,1,3,0,40,0,10,7,6,13,3.0020825873463464,9,7,5,7,14,13.216412258721606,12,9.316597891902969,3.8368550076668195,46520.59620408411,Graduate
2,9,7,4,1,6,1,6,3,2,2,0,1,0,0,2,0,35,0,7,8,3,9,4.0962240128635585,10,10,2,6,4,27.93654622597257,10,9.913748684020549,1.9244360255294424,91479.54161991131,Graduate
2,8,6,9,0,8,1,2,3,3,9,1,1,1,0,3,1,25,0,11,9,0,0,36.65083660881865,2,12,10,12,0,29.503845205788455,14,9.464587489697365,0.9701669815237357,63211.656508226406,Dropout
1,5,2,11,1,3,1,4,7,8,6,1,1,0,0,2,1,30,1,9,6,1,3,33.112836153919304,3,0,13,4,7,14.426333134575788,4,16.898054721369242,7.387863751243309,37963.799313011375,Dropout
3,3,4,8,1,7,0,6,6,7,5,1,1,0,1,2,1,19,1,13,14,8,11,32.10717102794896,12,9,0,3,10,24.644324381574446,12,0.2560705818902642,8.65093785444062,28967.442493581384,Graduate
2,2,4,7,1,2,1,9,3,5,2,1,1,0,0,3,1,42,1,2,0,2,13,35.16492116276551,6,9,14,3,6,3.7611460286051424,14,7.553993985669624,6.654787666798349,89224.11523630928,Dropout
3,6,1,6,0,7,1,7,9,3,3,0,1,1,0,1,0,28,1,9,5,13,9,23.815465388851095,8,11,9,9,3,14.09957148338275,11,1.6293417678832234,4.12277607536346,90914.00084438456,Graduate
1,3,2,1,1,6,1,9,3,6,3,1,0,0,0,1,0,37,1,5,10,5,10,31.0475155612156,6,1,8,11,14,25.419797224614868,14,10.873561381596375,1.8695201340638434,34942.95591456466,Graduate
3,1,8,17,0,4,1,6,3,4,4,1,1,0,1,2,0,17,1,6,5,1,4,13.873015919008488,8,12,8,5,6,34.149953088499544,8,10.197501581124373,2.4718791260209994,89245.38072057808,Graduate
2,6,6,4,1,1,0,4,5,1,5,0,0,1,0,1,1,46,0,4,14,13,9,5.3477321209161355,11,12,6,10,5,33.36477426977441,0,10.23575227813786,2.783448871722759,71456.62973139464,Dropout
1,9,9,14,0,9,1,3,2,7,5,1,0,0,0,3,1,49,1,6,4,2,0,16.79153096004619,0,1,4,6,13,6.3863606123302885,3,4.322166079408376,2.3959070959460305,78736.34518857767,Dropout
2,1,5,8,1,6,1,9,5,10,8,0,0,1,1,2,0,30,1,9,11,7,11,9.196949084964285,9,14,3,1,10,39.045208456323905,11,11.078641663914349,3.749741565030429,32809.48859870066,Graduate
1,2,4,17,0,3,0,8,3,10,7,0,1,1,1,1,1,32,0,11,14,14,0,35.70403464654634,8,13,8,12,7,26.951666403677244,7,7.520474881901902,1.5630272915355448,32823.27221341817,Dropout
1,5,8,7,0,8,1,1,2,9,5,1,0,1,0,2,1,24,1,0,6,12,0,4.978063503195673,8,2,11,5,9,22.881026526251095,0,17.43044549365574,4.2612983663636665,58924.068726045625,Dropout
2,9,2,2,0,5,0,1,2,10,3,0,0,0,1,1,0,39,0,0,7,10,14,32.72502200328626,4,2,12,0,0,1.5605693737555137,14,3.6024663168603865,0.5997506406522579,67588.81906646097,Dropout
3,9,9,6,1,4,1,2,7,11,6,0,1,1,1,1,1,18,0,14,2,5,13,18.917869969582057,11,13,1,11,9,2.6731447541124975,13,0.8289254458698481,3.866807396797177,12951.135928146326,Dropout
2,3,9,17,1,5,0,8,7,11,3,1,0,1,1,2,0,24,1,2,9,14,1,35.56753409552154,8,10,14,11,11,19.438347224413445,3,11.344861492014092,2.549657819696675,42687.49457603036,Dropout
2,9,2,4,1,7,1,9,9,1,3,1,0,0,1,1,0,34,0,8,1,9,13,30.604852630494918,10,1,4,5,14,10.766699563970423,7,10.196139406933806,5.291373204659807,58666.73628707488,Dropout
2,4,1,17,0,2,0,8,9,9,5,0,0,0,1,1,0,26,1,7,7,13,14,2.881148706240886,14,11,13,8,0,9.986097529444887,12,12.746866045966328,1.8317457771787582,63713.247161146704,Dropout
3,9,2,16,1,8,0,8,9,7,4,1,1,0,1,1,1,43,0,6,3,4,5,32.30811652550237,11,1,9,3,13,8.154261024903825,1,1.8874637825293372,4.319200708774029,28521.64018069143,Dropout
2,9,2,12,0,6,1,9,3,1,5,1,1,1,0,1,0,50,1,4,13,1,3,11.5569143000213,12,3,12,10,2,27.831633932252082,7,2.046212868391577,0.05796177730359009,16994.40999045762,Graduate
3,4,7,1,0,1,1,1,3,9,3,0,1,0,0,2,1,54,0,0,9,7,9,21.76418355165398,14,8,5,3,1,5.790954841714844,3,6.648202104849288,1.6942901430586055,87663.9404331676,Dropout
2,3,6,10,1,6,1,8,6,3,8,0,1,1,1,3,1,42,1,4,4,14,6,11.425935605774132,10,7,2,5,2,4.430928997718704,5,19.34695079483688,9.175692594387,38967.39313676032,Dropout
3,6,4,16,0,9,1,1,3,4,8,0,0,0,1,3,0,40,1,1,5,9,14,16.382685602831202,8,6,5,4,9,0.31467512140451515,4,6.0245571123416575,8.747894443250706,94096.26496412033,Graduate
3,5,2,10,1,1,1,5,1,5,5,1,0,0,1,1,0,22,0,6,13,11,9,38.10209811951073,14,11,10,4,9,6.673279625777737,6,18.115316073222584,1.711272716569474,36749.74099187151,Dropout
3,5,1,14,1,3,0,6,7,9,1,1,0,0,1,2,1,45,1,8,1,3,0,33.5020460932407,6,12,0,8,12,33.33943615680292,8,8.99735678862706,3.1644024166753515,22079.017544073577,Graduate
3,5,5,4,1,2,1,6,2,7,1,0,1,1,0,1,0,36,0,7,11,13,10,14.727550611465894,0,7,14,9,14,13.775630884057396,0,17.785874205206007,3.214355464946961,42021.72648467604,Graduate
1,8,8,12,0,2,1,1,9,10,2,0,0,1,1,2,1,18,0,11,12,3,7,16.341889211573793,8,11,12,11,5,13.304357903654754,1,1.4850963006766982,9.456279911842072,32604.898813042324,Graduate
3,4,8,14,0,4,1,4,5,4,3,1,0,1,0,1,0,36,1,0,0,3,0,39.2448506534342,14,4,4,10,1,5.765602448620442,12,13.881600713730272,1.2777025712664447,31236.99260900819,Dropout
2,9,4,16,0,9,0,9,1,4,2,1,0,1,0,3,0,38,0,9,8,10,0,2.4677289828172233,3,13,3,1,10,14.09497162455887,1,1.31004758850215,8.137710334889181,44060.60692331668,Dropout
1,6,6,16,1,9,0,3,3,11,7,0,1,1,0,2,1,18,0,0,12,5,10,35.00307576094671,4,8,9,9,2,15.741183790026279,12,0.8489858905009706,7.565046527735068,38079.831490252094,Dropout
2,3,2,3,0,7,0,9,5,1,6,1,1,0,1,1,1,53,0,6,3,8,8,0.058541145332924316,10,8,1,5,1,16.19197674835327,14,7.803885175939405,5.123274647599007,47989.46274988454,Dropout
2,5,7,4,1,6,1,3,1,9,5,0,0,0,1,2,1,24,1,11,11,3,1,26.652044857459668,3,6,5,6,1,29.366183542486702,5,16.410684572624767,1.191485337258128,76285.54202384551,Dropout
2,3,1,15,1,1,0,2,3,5,5,0,0,0,1,1,0,36,1,3,8,4,5,3.7059167393468773,6,9,14,1,9,2.46843507900139,7,17.20637517048694,5.805797295763908,76632.96947291787,Dropout
2,6,6,15,1,4,0,8,2,4,5,1,0,1,0,3,1,43,0,1,3,1,2,34.124532933439916,13,12,7,3,12,10.367511282604776,8,0.6464336789113245,0.13126425974175793,49148.30473301398,Graduate
2,9,6,2,1,9,1,9,2,9,10,1,1,1,0,3,1,28,0,0,8,5,14,33.411736381912156,1,3,3,4,12,4.622602947937562,4,2.6892428574898197,1.2564481359370427,66361.4877340936,Graduate
2,3,5,6,1,6,1,7,2,10,3,0,1,1,0,3,1,48,0,4,10,1,0,8.654139279007813,5,8,13,3,6,8.688215033428563,11,12.280536406111453,4.679000411182318,55442.410013953675,Dropout
1,2,1,11,1,7,1,1,3,10,6,1,1,0,1,2,1,40,1,6,12,9,1,22.27335816098052,2,6,12,4,3,34.72288436434989,5,13.214834453875948,6.638018950158423,37192.30546180647,Dropout
3,9,1,13,1,9,1,3,3,1,10,1,1,0,0,3,0,44,1,6,14,0,1,6.316738263323094,12,11,3,0,8,1.5084522142381962,7,1.8927889977321755,2.844681516884975,39990.64780702545,Dropout
3,4,7,2,1,6,0,8,3,7,1,1,1,1,1,2,1,45,1,0,2,9,3,15.233208879247648,9,8,7,12,13,31.074623244047615,13,9.112123333383526,6.1771031322173915,34364.47777047419,Dropout
3,4,8,7,0,4,0,1,2,11,1,1,0,0,1,2,1,22,0,3,1,3,2,24.578120646262477,8,2,5,0,0,36.94633455577558,5,16.932888137659564,4.6807752246424075,97992.88450543789,Graduate
1,2,1,1,0,2,1,1,1,8,6,1,0,1,0,1,1,44,1,12,1,5,2,31.455522405053138,5,2,5,2,13,32.252080007144606,10,13.56659243441335,1.0470499764660035,94013.50412415124,Dropout
2,3,5,14,0,2,1,2,3,3,8,1,1,1,1,1,1,34,1,5,4,6,12,21.92831185686496,2,7,1,7,3,21.58133505199686,12,6.614395679873835,2.9312228474338395,56079.25688910598,Dropout
2,5,7,9,1,5,0,8,9,3,5,1,1,0,1,2,0,45,0,8,8,7,13,10.789317003645692,4,8,2,7,4,36.90509766631988,5,6.751353644903464,3.0569072143844034,13039.950493905888,Dropout
1,6,5,15,0,6,0,1,6,9,8,1,1,1,1,2,1,19,1,12,0,4,5,36.78416501360923,13,11,8,3,11,3.4891546724637834,2,14.712307752927583,1.0917237059888318,41349.78430342637,Dropout
2,8,3,16,1,7,1,8,4,7,8,1,0,0,0,3,0,45,1,12,2,14,3,34.703394865312674,9,0,7,10,7,31.68088207022537,11,5.887657655226011,3.8050267199526577,97363.05474618186,Dropout
1,1,4,11,0,5,1,6,7,8,5,0,0,1,0,2,1,24,0,0,6,4,7,30.938915719805706,4,2,4,4,2,12.776972532197895,7,16.895966774688688,4.559895191464934,13259.05982880164,Dropout
1,5,2,2,1,5,0,9,3,4,5,0,1,1,1,1,0,39,0,4,0,0,1,37.226600627718874,12,9,9,9,12,3.929067601307672,4,7.740368289294304,3.7200329109089347,51404.292952156946,Dropout
1,4,9,17,0,9,1,5,1,3,4,1,1,0,1,2,1,41,0,2,5,3,0,17.44940249068525,12,0,3,5,9,11.74703209220377,12,10.711869311597347,4.011743253887804,65704.49051522701,Dropout
1,7,8,7,0,1,0,7,7,1,8,0,0,1,1,3,0,39,1,3,8,2,10,4.333160160660672,13,8,7,4,10,22.70391276765336,4,13.194867159154738,2.517501079846478,17257.161079330952,Dropout
1,1,5,15,0,3,1,6,2,8,9,1,1,0,0,1,1,31,0,11,12,8,7,35.9203291095513,3,5,1,11,9,9.571875005671275,5,5.009414369309388,1.9234933186610703,97628.7400732247,Dropout
1,6,2,5,1,8,0,1,8,3,4,0,1,0,0,3,1,47,1,12,1,7,7,30.300817718224767,2,4,6,13,6,21.305856876946493,3,19.08902540301985,6.447030984043771,94019.88612801381,Dropout
3,1,1,9,0,3,1,5,1,6,9,1,0,1,1,3,1,42,0,10,7,8,2,25.549988120517998,9,4,3,14,8,20.022106374858176,2,10.621487857953698,9.746094190816606,11188.869563038563,Graduate
3,3,2,6,0,3,0,7,5,4,9,0,0,0,0,2,0,36,1,5,0,2,8,4.793980694910029,7,13,13,8,4,32.535096642139536,2,10.581622472864197,5.876908059119793,82705.02161379253,Dropout
3,6,9,12,0,7,0,3,2,2,1,0,0,1,0,1,0,50,1,13,0,3,10,7.270987300613627,4,9,9,5,8,20.870336563647744,11,17.136012185717775,9.593521991274347,34720.625043993015,Dropout
1,8,7,13,0,4,0,9,4,9,4,0,0,1,1,2,1,52,1,2,4,0,14,8.500083343730353,5,2,13,8,4,12.808553697839322,5,8.830482016869636,4.333916066248943,37717.56183677757,Dropout
2,2,2,14,1,8,1,2,9,3,2,0,1,1,1,3,1,32,0,7,13,7,12,9.079887562271601,5,1,8,4,0,11.985390240212892,7,8.236557145528396,1.0165307625524267,75388.07136830201,Dropout
1,8,4,17,1,6,0,1,4,5,11,0,1,0,1,1,1,37,1,1,1,11,8,14.126542433804312,6,10,4,7,5,8.297934926205173,3,1.4185452569022328,5.9817210472399065,51866.65643606967,Dropout
3,4,1,17,0,6,1,1,2,1,3,0,0,0,0,3,0,25,0,14,7,7,6,20.92768465669172,6,14,13,5,8,0.769154904086804,2,13.886530942281862,1.766149186621958,55062.4990913105,Dropout
1,7,5,10,0,5,0,3,7,4,8,0,1,1,1,2,1,49,1,8,13,10,4,1.2248009397023951,4,2,5,1,14,6.827427224275646,9,1.4612359332220537,8.0162247737464,34244.66971756931,Graduate
3,6,4,16,1,8,0,8,8,9,4,1,1,1,0,2,1,18,1,3,7,14,1,30.311965140269844,10,10,13,9,11,39.79856862714684,13,5.34005231967207,2.265466668501328,49313.66391974625,Dropout
1,4,2,15,0,3,1,5,4,6,5,0,0,1,1,2,0,46,1,3,5,6,11,4.228469444271434,3,11,1,13,14,28.14511158085683,7,9.876788070139721,0.864311026760185,69751.42571110543,Graduate
3,9,6,16,1,8,1,9,7,1,7,0,0,1,0,3,1,54,1,6,13,7,3,1.4186674874806648,12,11,9,12,0,10.740719586219774,9,16.807240338037825,9.503673626767569,89940.15695819406,Dropout
2,5,9,3,0,1,0,8,9,7,1,0,1,1,1,3,1,54,0,13,9,9,10,20.98276655084299,13,9,4,0,3,13.351475055424906,14,4.14405866251119,7.6102842602471625,82252.66483817759,Dropout
2,1,4,4,0,3,0,8,5,8,11,1,1,1,0,1,0,47,1,13,7,5,8,22.57094340861656,11,7,1,9,4,13.500891110259694,3,6.797387157028927,4.782674421821999,98828.74950743603,Dropout
2,7,1,17,1,5,0,5,6,7,4,1,0,0,1,3,1,48,1,0,9,0,5,0.2159402980937708,11,0,7,3,5,0.9628337432043299,13,11.82455613398648,5.173134838799762,80758.65014505584,Dropout
1,5,1,4,0,1,1,9,2,6,1,1,0,0,0,2,0,30,0,10,13,3,3,31.16444336268746,7,4,9,11,3,19.056501042054464,2,6.918968915416357,3.3715153886867633,21684.438507811257,Dropout
1,8,2,17,1,3,1,2,3,8,9,0,1,1,1,2,0,34,1,11,1,10,13,14.829370648786302,6,7,12,3,4,10.207635685285581,4,13.812154899995209,8.639857828422999,26558.770284544113,Dropout
1,4,1,13,1,8,1,9,2,11,7,0,1,1,0,2,1,20,1,13,0,7,1,30.358244470039104,12,3,6,3,4,28.2963721059205,8,18.86835400836665,4.990843782618128,77624.56758299876,Dropout
3,3,8,8,1,8,1,7,9,1,3,0,0,1,1,1,0,37,0,8,13,0,12,20.459118250516838,6,10,4,6,8,25.110970535836618,11,2.7578910913397148,8.2661016618276,78623.80900654446,Dropout
2,4,2,6,1,6,0,6,5,4,5,1,1,1,0,1,0,24,1,14,6,11,0,15.71632036683944,1,2,9,2,3,32.76068298327681,8,8.227769866796047,5.549807893764306,46976.877541992886,Dropout
3,8,1,17,0,8,1,4,5,3,5,1,1,1,0,1,0,29,1,0,5,11,8,32.77590261486804,12,13,3,1,5,35.91429194594471,11,10.331144752432774,4.461579294152676,47892.67764097225,Dropout
3,2,5,1,0,5,0,1,2,2,5,1,1,0,0,1,1,47,0,0,2,14,3,32.43609349804407,9,8,3,0,13,18.10896158545813,10,16.789137238953025,6.336584796222029,93022.02235030063,Dropout
2,5,6,3,1,9,0,9,9,8,2,0,0,1,0,3,0,54,0,13,2,2,10,17.72989008221511,8,5,9,4,0,14.037446192487245,1,19.42224311469453,1.1887845065078184,74120.2393393816,Dropout
2,4,7,13,0,2,1,1,9,1,10,1,0,0,1,1,1,45,1,11,6,2,12,7.453958281242925,11,7,11,2,6,17.67883119056971,6,15.303107689181001,9.645042404049931,78554.66692086362,Dropout
